company,code,capitalication
"電通総研","4812","361762764000"
"ネットワンシステムズ","7518","359863284700"
"ひろぎんホールディングス","7337","357664704545"
"京浜急行電鉄","9006","355731105630"
"京阪ホールディングス","9045","354488225796"
"エクシオグループ","1951","354403606242"
"FOOD & LIFE COMPANIES","3563","352618180992"
"住友ベークライト","4203","351779850912"
"九州フィナンシャルグループ","7180","351099978530.60004"
"ラウンドワン","4680","350787035814"
"ニチアス","5393","347264826957"
"ツムラ","4540","346256970982"
"日野自動車","7205","345323090850"
"アルプスアルパイン","6770","342517624900"
"長瀬産業","8012","340813897792.5"
"日揮ホールディングス","1963","337975069247.5"
"七十七銀行","8341","337055315162"
"芙蓉総合リース","8424","336951886250"
"寿スピリッツ","2222","336579238800"
"DMG森精機","6141","333524658705"
"デサント","8114","333466302960"
"豊田合成","7282","332817695376"
"リゾートトラスト","4681","330879916151"
"山九","9065","330713972190"
"パーク24","4666","329610207063"
"日本精工","6471","329550000000"
"日本電気硝子","5214","329421944260"
"東邦ホールディングス","8129","329113358652"
"中国電力","9504","328191032408.4"
"日本ゼオン","4205","328089771252"
"名古屋鉄道","9048","326719849412"
"ワコールホールディングス","3591","326228000000"
"ナブテスコ","6268","325722958359.5"
"DIC","4631","324485042640"
"トリドールホールディングス","3397","323956218600"
"クスリのアオキホールディングス","3549","320758119360"
"U-NEXT HOLDINGS","9418","319625090076"
"ポーラ・オルビスホールディングス","4927","319072097230"
"三菱マテリアル","5711","317810206095"
"コクヨ","7984","315585005179.5"
"ディー・エヌ・エー","2432","314952287782.5"
"石油資源開発","1662","313854439280"
"マクニカホールディングス","3132","313476374682"
"東京精密","7729","313428975235"
"インフロニア・ホールディングス","5076","312498792288"
"コニカミノルタ","4902","310797359567.1"
"ラクス","3923","310241792000"
"江崎グリコ","2206","310162617570"
"テクノプロ・ホールディングス","6028","305102000000"
"トプコン","7732","304547983383"
"アマノ","6436","304484896788"
"アルバック","6728","303983222142"
"富士通ゼネラル","6755","302514416124"
"カシオ計算機","6952","300572777473"
"ローツェ","6323","300497400000"
