会社,証券コード,時価総額,売上高 (通期),営業利益 (通期),売上成長率（％） (通期),営業利益率 (%) (通期)
"帝国電機製作所","6333","49009060776","29217000000","4882000000","2.6934888454702985","16.709449977752676"
"チヨダ","8185","48957474928","93320000000","1071000000","1.3","1.147663951993142"
"フジッコ","2908","48952686411","55715000000","1530000000","3.3385885189650537","2.7461186395046218"
"プロクレアホールディングス","7384","48834862728","76847000000","","-10.05419197771458",""
"横浜冷凍","2874","48776480932","122540000000","4002000000","-8.46","3.2658723682062996"
"SREホールディングス","2980","48669265475","24218000000","2212000000","30.612070555111018","9.133702204971508"
"クレスコ","4674","48664000000","52755000000","5121000000","9.069315695123109","9.707136764287744"
"アイホン","6718","48592740000","61334000000","5268000000","16.13868322887278","8.58903707568396"
"高速","7504","48531007040","106216000000","4227000000","7.451154241541147","3.979626421631392"
"有沢製作所","5208","48520100180","42114000000","1483000000","-1.4234889189201567","3.521394310680534"
"新東工業","6339","48467864064","115495000000","5409000000","8.567319352139947","4.683319624226157"
"ミニストップ","9946","48288840456","79056000000","-609000000","-2.74","-0.7703400121432908"
"ジャムコ","7408","48113377434","63999000000","2383000000","35.52","3.723495679619994"
"フジオフードグループ本社","2752","47936942300","29756000000","389000000","12.159819072747837","1.3072993681946499"
"モリト","9837","47730000000","48537000000","2868000000","0.02","5.908894245627047"
"フランスベッドホールディングス","7840","47728092500","59151000000","4587000000","0.9781829355730736","7.754729421311558"
"SFPホールディングス","3198","47498100498","29079640000","2026984000","26.91","6.970457681044194"
"北海道瓦斯","9534","47448631050","173885000000","15595000000","-0.5462136810798484","8.968571182103116"
"極洋","1301","47407260775","261604000000","8806000000","-3.8810730176692942","3.3661564807877555"
"ハニーズホールディングス","2792","47290500000","56571000000","6970000000","3.07","12.320800410104118"
"ぴあ","4337","47237067260","39587000000","1209000000","20.82837347007296","3.0540328895849647"
"荏原実業","6328","47129850000","36280000000","4025000000","20.017202024545952","11.094266813671444"
"トピー工業","7231","47119687070","333992000000","10440000000","-0.15067444752702386","3.125823373014922"
"ゼンリン","9474","47101722030","61335000000","1981000000","4.075814908455371","3.2298035379473387"
"特種東海製紙","3708","47015500000","86517000000","2296000000","2.837275644835387","2.6538137013534913"
"アルコニックス","3036","46936864800","174901000000","5463000000","-1.9244895784851934","3.1234812836976347"
"日本システム技術","4323","46867268040","26183000000","2791000000","11.324569774309978","10.65958828247336"
