18439,18086,17402,16381,14899,14077,13551,12662,11449
18157,16326,15445,14307,13335,12546,11799,10910,9691
4327,3430,2812,2474,2225,2138,2049,1597,1594
18355,17601,17787,17620,17139,16940,16858,16495,16021
16724,16307,16312,15313,14751,13990,12881,11921,10978
10062,9983,10053,9722,9370,9151,8835,8541,8153
19901,18999,19215,18504,17766,17320,16840,16222,15227
17620,17245,16892,16627,16306,16126,15795,15218,14270
21061,20165,19968,18568,17354,15998,15325,14184,12743
17544,17994,18419,18351,16750,15969,16012,15218,14314
23974,22683,22707,22342,21237,20209,19357,18471,16759
10193,10100,10532,10931,10615,10523,10481,10430,10241
7144,7047,6590,6626,6126,5806,5508,5097,4881
23588,22816,22587,22333,21553,21270,20591,20016,19106
11749,11321,11104,11003,10071,11063,11849,11401,11095
17036,17251,17637,18632,19120,21031,23220,24172,24211
7673,7753,7624,7487,7125,6606,6566,6212,6340
10735,10174,9975,9675,8794,8045,7975,8042,7252
4243,4057,3917,3712,3295,3012,2793,2603,2463
4622,4462,4174,3634,3348,3173,3010,2843,2422
16184,15602,15606,15200,14440,13740,13223,12261,11299
24061,23607,23720,23638,22525,21666,21318,20138,18712
9427,8998,8878,8508,8106,7681,7288,6883,6175
24997,24840,24495,24053,23383,23041,22596,21552,19853
9279,9375,10199,11547,12959,14428,15618,15356,14699
4754,4448,4332,4134,3724,3498,3343,3143,2851
226868,251280,272814,287312,292632,300723,302857,300746,298348
79805,79214,78617,77024,72538,69587,66986,63588,59430
48816,49675,50132,49041,47219,46277,45160,43331,40737
101858,102689,105678,106747,106727,107112,107175,105028,101438
68074,71383,76633,80248,82902,87969,91501,94321,93138
43044,43195,43683,43402,42758,41225,40178,39141,36872
40768,38146,37382,36312,34923,33898,33108,31402,29331
150366,147933,147465,146065,144896,143974,140825,135722,127642
30308,29439,29356,28404,27242,26129,25676,24709,23300
72923,68981,65250,60007,52484,49447,46521,42987,39574
38289,37636,37537,37285,35017,33755,33102,31477,29702
36764,34491,34926,33770,33287,32751,32485,31079,28680
126304,126908,130318,132039,132116,133228,133056,130171,124746
12000,16047,25686,31733,38108,44189,51241,53560,53857
17954,18293,18696,19127,19013,19373,19750,19055,18033
14135,13044,11972,11231,10364,9536,8725,8021,7304
21725,20832,20350,19885,19141,18264,17372,16254,14984
26459,26720,27787,28892,29856,31311,33038,33692,33288
13526,15008,17465,18714,19920,21919,25268,27085,27205
12667,10923,9989,9520,8973,8594,7983,7375,6602
14872,14653,14973,16250,15672,15923,16383,16396,16325
9474,9374,9253,9703,9493,9288,9054,8819,8345
10397,9585,9036,8702,8228,7783,7305,6848,6190
20489,21078,21292,20258,19074,18301,17480,16516,15276
24193,25052,25321,24602,22925,22019,21214,20142,18617
22177,20219,18236,16959,15164,13879,12845,11914,10804
5412,5559,5225,5199,5019,4806,4529,4241,3843
4162,4029,4023,4013,3909,3796,3583,3358,3088
15462,14130,13768,13487,12646,12290,11863,10997,10209
