jp,usd,us,capitalization_JP,capitalization_US,USD
1.38666E+12,72857028866 ,1.13657E+13,1386664716853 ,11365696503096 ,72857028866 
1.378E+12,72851683944 ,1.13649E+13,1377995736000 ,11364862695264 ,72851683944 
1.35114E+12,72765491609 ,1.13514E+13,1351138987686 ,11351416691004 ,72765491609 
1.34646E+12,72561078070 ,1.13195E+13,1346462225825 ,11319528178920 ,72561078070 
1.3306E+12,72460701776 ,1.13039E+13,1330596558848 ,11303869477056 ,72460701776 
1.31883E+12,72134330996 ,1.1253E+13,1318828648000 ,11252955635376 ,72134330996 
1.3188E+12,72092357734 ,1.12464E+13,1318801287804 ,11246407806504 ,72092357734 
1.29747E+12,71007006000 ,1.10771E+13,1297474179240 ,11077092936000 ,71007006000 
1.29245E+12,70280519074 ,1.09638E+13,1292452851300 ,10963760975544 ,70280519074 
1.2734E+12,70246129935 ,1.09584E+13,1273398046327 ,10958396269860 ,70246129935 
1.26976E+12,69832864071 ,1.08939E+13,1269759622515 ,10893926795076 ,69832864071 
1.26845E+12,69471266130 ,1.08375E+13,1268454153120 ,10837517516280 ,69471266130 
1.25744E+12,68631808846 ,1.07066E+13,1257443863760 ,10706562179976 ,68631808846 
1.25728E+12,67869434716 ,1.05876E+13,1257278664800 ,10587631815696 ,67869434716 
1.25202E+12,67337912795 ,1.05047E+13,1252017402536 ,10504714396020 ,67337912795 
1.24611E+12,67228278592 ,1.04876E+13,1246107910500 ,10487611460352 ,67228278592 
1.2339E+12,67213384946 ,1.04853E+13,1233900000000 ,10485288051576 ,67213384946 
1.22375E+12,66929998760 ,1.04411E+13,1223751533746 ,10441079806560 ,66929998760 
1.21241E+12,66746673920 ,1.04125E+13,1212407052498 ,10412481131520 ,66746673920 
1.20712E+12,66405158320 ,1.03592E+13,1207115000000 ,10359204697920 ,66405158320 
1.20331E+12,66217410280 ,1.03299E+13,1203312484764 ,10329916003680 ,66217410280 
1.1995E+12,65016721784 ,1.01426E+13,1199503869498 ,10142608598304 ,65016721784 
1.16292E+12,64683508000 ,1.00906E+13,1162917905296 ,10090627248000 ,64683508000 
1.15954E+12,63652709451 ,9.92982E+12,1159540584769 ,9929822674356 ,63652709451 
1.15904E+12,63117158878 ,9.84628E+12,1159036899962 ,9846276784968 ,63117158878 
1.15329E+12,62989465884 ,9.82636E+12,1153286922400 ,9826356677904 ,62989465884 
1.15164E+12,62500857967 ,9.75013E+12,1151636139090 ,9750133842852 ,62500857967 
1.14302E+12,61541684307 ,9.6005E+12,1143017763096 ,9600502751892 ,61541684307 
1.11509E+12,61221695834 ,9.55058E+12,1115089593000 ,9550584550104 ,61221695834 
1.1138E+12,60558353273 ,9.4471E+12,1113800086980 ,9447103110588 ,60558353273 
1.10131E+12,60546820688 ,9.4453E+12,1101309638318 ,9445304027328 ,60546820688 
1.09919E+12,60118537958 ,9.37849E+12,1099194607881 ,9378491921448 ,60118537958 
1.09297E+12,60088244308 ,9.37377E+12,1092972833472 ,9373766112048 ,60088244308 
1.08838E+12,59420538628 ,9.2696E+12,1088377531500 ,9269604025968 ,59420538628 
1.08549E+12,59187480289 ,9.23325E+12,1085486286420 ,9233246925084 ,59187480289 
1.05831E+12,59158221126 ,9.22868E+12,1058305741668 ,9228682495656 ,59158221126 
1.05203E+12,59043604355 ,9.2108E+12,1052033596950 ,9210802279380 ,59043604355 
1.04675E+12,58490284841 ,9.12448E+12,1046747840000 ,9124484435196 ,58490284841 
1.04519E+12,58131051778 ,9.06844E+12,1045185569910 ,9068444077368 ,58131051778 
1.04447E+12,57846080123 ,9.02399E+12,1044469997734 ,9023988499188 ,57846080123 
1.04349E+12,57793232496 ,9.01574E+12,1043491379920 ,9015744269376 ,57793232496 
1.038E+12,56816681831 ,8.8634E+12,1038000000000 ,8863402365636 ,56816681831 
1.03734E+12,56710514082 ,8.84684E+12,1037341525500 ,8846840196792 ,56710514082 
1.03065E+12,56046399965 ,8.74324E+12,1030649580088 ,8743238394540 ,56046399965 
1.02864E+12,56007930150 ,8.73724E+12,1028643000000 ,8737237103400 ,56007930150 
1.02397E+12,55946076717 ,8.72759E+12,1023966748341 ,8727587967852 ,55946076717 
1.02156E+12,55505638675 ,8.65888E+12,1021558835128 ,8658879633300 ,55505638675 
1.01573E+12,55282854402 ,8.62413E+12,1015731513859 ,8624125286712 ,55282854402 
1.00637E+12,54824766074 ,8.55266E+12,1006365943650 ,8552663507544 ,54824766074 
1.00483E+12,54734945709 ,8.53865E+12,1004825016384 ,8538651530604 ,54734945709 
1.00091E+12,54573806608 ,8.51351E+12,1000906105600 ,8513513830848 ,54573806608 
9.75423E+11,54375582018 ,8.48259E+12,975423392860 ,8482590794808 ,54375582018 
9.72051E+11,54232503744 ,8.46027E+12,972051110494 ,8460270584064 ,54232503744 
9.68671E+11,53952949308 ,8.41666E+12,968670943605 ,8416660092048 ,53952949308 
9.6628E+11,53729721977 ,8.38184E+12,966279722364 ,8381836628412 ,53729721977 
9.65751E+11,53570473200 ,8.35699E+12,965751346274 ,8356993819200 ,53570473200 
9.60336E+11,52649481492 ,8.21332E+12,960336000000 ,8213319112752 ,52649481492 
9.60237E+11,52610612975 ,8.20726E+12,960236529960 ,8207255624100 ,52610612975 
9.46634E+11,52112238762 ,8.12951E+12,946633616800 ,8129509246872 ,52112238762 
9.4261E+11,51844418302 ,8.08773E+12,942609726728 ,8087729255112 ,51844418302 
9.40099E+11,51791978829 ,8.07955E+12,940098979200 ,8079548697324 ,51791978829 
9.15684E+11,51000654593 ,7.9561E+12,915684027720 ,7956102116508 ,51000654593 
9.04996E+11,50594854209 ,7.8928E+12,904995974190 ,7892797256604 ,50594854209 
8.99452E+11,50352594882 ,7.855E+12,899451835000 ,7855004801592 ,50352594882 
8.5065E+11,50255199662 ,7.83981E+12,850649777100 ,7839811147272 ,50255199662 
8.07384E+11,49963320678 ,7.79428E+12,807383643200 ,7794278025768 ,49963320678 
8.05556E+11,49813008849 ,7.77083E+12,805555931510 ,7770829380444 ,49813008849 
7.99508E+11,49777591530 ,7.7653E+12,799507697559 ,7765304278680 ,49777591530 
7.93459E+11,49208939733 ,7.67659E+12,793459299540 ,7676594598348 ,49208939733 
7.91006E+11,49176923095 ,7.6716E+12,791005985582 ,7671600002820 ,49176923095 
7.89882E+11,49076092970 ,7.65587E+12,789881734260 ,7655870503320 ,49076092970 
7.73345E+11,48765687893 ,7.60745E+12,773345420190 ,7607447311308 ,48765687893 
7.65638E+11,48675164320 ,7.59333E+12,765637756296 ,7593325633920 ,48675164320 
7.62368E+11,48061921548 ,7.49766E+12,762367694672 ,7497659761488 ,48061921548 
7.61861E+11,47964799354 ,7.48251E+12,761860800000 ,7482508699224 ,47964799354 
7.55866E+11,47804027551 ,7.45743E+12,755865783383 ,7457428297956 ,47804027551 
7.52467E+11,47439231460 ,7.40052E+12,752466531036 ,7400520107760 ,47439231460 
7.23653E+11,47420680514 ,7.39763E+12,723652578240 ,7397626160184 ,47420680514 
7.20745E+11,47040637295 ,7.33834E+12,720745236216 ,7338339418020 ,47040637295 
7.08768E+11,46995570857 ,7.33131E+12,708767840642 ,7331309053692 ,46995570857 
7.0245E+11,46783457887 ,7.29822E+12,702450000000 ,7298219430372 ,46783457887 
6.98495E+11,46633695775 ,7.27486E+12,698495405875 ,7274856540900 ,46633695775 
6.92846E+11,46435732125 ,7.24397E+12,692845572000 ,7243974211500 ,46435732125 
6.88785E+11,46052531151 ,7.18419E+12,688785128416 ,7184194859556 ,46052531151 
6.8876E+11,45997170687 ,7.17556E+12,688760000000 ,7175558627172 ,45997170687 
6.8775E+11,45927314640 ,7.16466E+12,687750000000 ,7164661083840 ,45927314640 
6.78172E+11,45308141923 ,7.06807E+12,678171531204 ,7068070139988 ,45308141923 
